Tamanho da lista,Tempo Médio (s),Lista Ordenada
3000,0.003633000003173947,Desordenada
500,0.00046448999491985885,Desordenada
1000,0.0010975299985148013,Desordenada
1500,0.0018835600058082491,Desordenada
2000,0.0023537099943496285,Desordenada
3000,0.003626269998494536,Desordenada
500,0.00043685999698936937,Desordenada
1000,0.0011586900043766945,Desordenada
1500,0.0017043700005160644,Desordenada
2000,0.002482559997588396,Desordenada
3000,0.0036448899947572498,Desordenada
500,0.0004558399989036843,Desordenada
1000,0.0009885900013614445,Desordenada
1500,0.0015947499981848524,Desordenada
2000,0.00236134999722708,Desordenada
3000,0.00377206000557635,Desordenada
500,0.0004256100015481934,Desordenada
1000,0.0011462599941296503,Desordenada
1500,0.0017710400017676875,Desordenada
2000,0.0021998099982738495,Desordenada
3000,0.0038169699953868987,Desordenada
500,0.0004417700023623183,Desordenada
1000,0.0009596599993528798,Desordenada
1500,0.0016338100074790418,Desordenada
2000,0.002354229998309165,Desordenada
3000,0.0037576599948806687,Desordenada
500,0.0005325499951140955,Desordenada
1000,0.000957699996070005,Desordenada
1500,0.0015570499963359907,Desordenada
2000,0.0022639899951172994,Desordenada
3000,0.003461309999693185,Desordenada
500,0.00045954000379424544,Desordenada
1000,0.001078460001735948,Desordenada
1500,0.0015963400044711306,Desordenada
2000,0.002223619999131188,Desordenada
3000,0.0038069200032623484,Desordenada
500,0.0005973500054096803,Desordenada
1000,0.0010669299983419478,Desordenada
1500,0.0017230400000698865,Desordenada
2000,0.0021611700009088962,Desordenada
3000,0.0035065899952314793,Desordenada
500,0.0004602300003170967,Desordenada
1000,0.0009869100002106279,Desordenada
1500,0.001564999998663552,Desordenada
2000,0.002144289997522719,Desordenada
3000,0.0040279400011058895,Desordenada
500,0.00043501999753061684,Desordenada
1000,0.0009573800023645162,Desordenada
1500,0.0016848999977810309,Desordenada
2000,0.002312210004311055,Desordenada
3000,0.0034295699937501923,Desordenada
500,0.0006634899938944728,Desordenada
1000,0.0014707100024679675,Desordenada
1500,0.0018626200006110593,Desordenada
2000,0.0022983199916779993,Desordenada
3000,0.0036357700009830296,Desordenada
500,0.00045190999808255585,Desordenada
1000,0.0010318999993614852,Desordenada
1500,0.0015951500012306497,Desordenada
2000,0.002207020006608218,Desordenada
3000,0.003779259996372275,Desordenada
500,0.00043273999181110413,Desordenada
1000,0.0009749400021973997,Desordenada
1500,0.0017226000025402754,Desordenada
2000,0.0023362700012512505,Desordenada
3000,0.0037133699981495736,Desordenada
500,0.00042424999992363155,Desordenada
1000,0.0010131900024134665,Desordenada
1500,0.0015209500066703185,Desordenada
2000,0.002399579994380474,Desordenada
3000,0.003963729998213239,Desordenada
500,0.00044538999791257086,Desordenada
1000,0.0011063899961300193,Desordenada
1500,0.001569770002970472,Desordenada
2000,0.002477329998509958,Desordenada
3000,0.003641879995120689,Desordenada
500,0.0004312199976993725,Desordenada
1000,0.0009451899997657165,Desordenada
1500,0.001673769997432828,Desordenada
2000,0.00225279999722261,Desordenada
3000,0.003758270002435893,Desordenada
500,0.00047426000237464904,Desordenada
1000,0.0009656899899709969,Desordenada
1500,0.001539069996215403,Desordenada
2000,0.0024963999981991946,Desordenada
3000,0.0035280599986435845,Desordenada
500,0.0005715300008887425,Desordenada
1000,0.0014763100014533847,Desordenada
1500,0.0016518499993253498,Desordenada
2000,0.002578109997557476,Desordenada
3000,0.004197769993334077,Desordenada
500,0.00047425000520888715,Desordenada
1000,0.0014966299931984395,Desordenada
1500,0.0017059399979189038,Desordenada
2000,0.002491019997978583,Desordenada
3000,0.004353200001060031,Desordenada
500,0.00044382000050973146,Desordenada
1000,0.001011909992666915,Desordenada
1500,0.0015694000030634925,Desordenada
2000,0.0022095700027421118,Desordenada
3000,0.003837389999534935,Desordenada
500,0.0006186200043885037,Desordenada
1000,0.0009785000060219319,Desordenada
1500,0.0016262499964796006,Desordenada
2000,0.002183740003965795,Desordenada
3000,0.0034784600051352755,Desordenada
500,0.0004405700077768415,Desordenada
1000,0.0009489999967627228,Desordenada
1500,0.0016024100041249767,Desordenada
2000,0.002423460004501976,Desordenada
3000,0.0035107500094454735,Desordenada
500,0.00047535999910905955,Desordenada
1000,0.0010756899981060996,Desordenada
1500,0.001672699998016469,Desordenada
2000,0.002187430000049062,Desordenada
3000,0.00360252000100445,Desordenada
500,0.0004525299998931587,Desordenada
1000,0.0010490799963008613,Desordenada
1500,0.001568539993604645,Desordenada
2000,0.002400070003932342,Desordenada
3000,0.0036782800045330076,Desordenada
500,0.0005423400027211756,Desordenada
1000,0.0009638699993956834,Desordenada
1500,0.0016738899983465671,Desordenada
2000,0.0021549400029471145,Desordenada
3000,0.003645169999799691,Desordenada
500,0.0004353300028014928,Desordenada
1000,0.0009635399910621345,Desordenada
1500,0.0017990500025916844,Desordenada
2000,0.0021833799954038115,Desordenada
3000,0.003977839995059185,Desordenada
500,0.0004803799994988367,Desordenada
1000,0.0009531299991067498,Desordenada
1500,0.001683720000437461,Desordenada
2000,0.002495869997073896,Desordenada
3000,0.0038291400007437913,Desordenada
500,0.0004319800005760044,Desordenada
1000,0.0010591199999907986,Desordenada
1500,0.001650819997303188,Desordenada
2000,0.0022220099985133857,Desordenada
3000,0.0034728200000245122,Desordenada
500,0.0005392599996412173,Desordenada
1000,0.0010287400044035166,Desordenada
1500,0.00160635000502225,Desordenada
2000,0.002209240003139712,Desordenada
3000,0.0034604200016474353,Desordenada
500,0.0005637399997795,Desordenada
1000,0.0010044700000435113,Desordenada
1500,0.001581579993944615,Desordenada
2000,0.0021944699983578175,Desordenada
3000,0.003452580000157468,Desordenada
500,0.00042740999488160013,Desordenada
1000,0.0012050799996359274,Desordenada
1500,0.001567809996777214,Desordenada
2000,0.0024133200029609727,Desordenada
3000,0.003697630003443919,Desordenada
500,0.0004529800033196807,Desordenada
1000,0.0009726300020702183,Desordenada
1500,0.0015992000000551343,Desordenada
2000,0.0021928599948296324,Desordenada
3000,0.0036960600002203135,Desordenada
500,0.00042537000263109803,Desordenada
1000,0.001093730004504323,Desordenada
1500,0.0015890899958321825,Desordenada
2000,0.00493754000053741,Desordenada
3000,0.0038869300013175236,Desordenada
500,0.0004576899955281988,Desordenada
1000,0.0009882499958621337,Desordenada
1500,0.0015498099994147197,Desordenada
2000,0.0022692700033076106,Desordenada
3000,0.0037884999997913837,Desordenada
500,0.00045164999610278753,Desordenada
1000,0.0009453699982259423,Desordenada
1500,0.001691250002477318,Desordenada
2000,0.0021824299998115747,Desordenada
3000,0.003537489997688681,Desordenada
500,0.0004275299987057224,Desordenada
1000,0.000990910001564771,Desordenada
1500,0.0016864500037627294,Desordenada
2000,0.0025747999956365676,Desordenada
3000,0.003540479997172952,Desordenada
500,0.0004292399971745908,Desordenada
1000,0.0009700999915366992,Desordenada
1500,0.0016581300034886226,Desordenada
2000,0.0023921700048958883,Desordenada
3000,0.003870110004208982,Desordenada
500,0.00047035000170581043,Desordenada
1000,0.0011197500076377763,Desordenada
1500,0.0016904500022064894,Desordenada
2000,0.0023029600066365673,Desordenada
3000,0.0038710599998012184,Desordenada
500,0.0004459200019482523,Desordenada
1000,0.0010988399939378724,Desordenada
1500,0.0015378900046925993,Desordenada
2000,0.0028283399995416405,Desordenada
3000,0.0034886399953393266,Desordenada
500,0.0004290999990189448,Desordenada
1000,0.0012006000033579767,Desordenada
1500,0.0019196299981558695,Desordenada
2000,0.0023350800067419184,Desordenada
3000,0.0037847100000362845,Desordenada
500,0.0005534999974770472,Desordenada
1000,0.0010119599901372567,Desordenada
1500,0.0017590899980859831,Desordenada
2000,0.0021475100045790898,Desordenada
3000,0.0035495299991453065,Desordenada
500,0.0004595199978211895,Desordenada
1000,0.001008550002006814,Desordenada
1500,0.001562049993663095,Desordenada
2000,0.002236490001087077,Desordenada
3000,0.0037788800051202997,Desordenada
500,0.0004383200022857636,Desordenada
1000,0.0009656600013840944,Desordenada
1500,0.001635240000905469,Desordenada
2000,0.0023336199956247583,Desordenada
3000,0.0036228899960406126,Desordenada
500,0.00042615999991539865,Desordenada
1000,0.0009543099964503199,Desordenada
1500,0.0015855100005865096,Desordenada
2000,0.0023413100017933173,Desordenada
3000,0.0036937199998646974,Desordenada
500,0.00043446000199764967,Desordenada
1000,0.0009542200015857816,Desordenada
1500,0.0016956100007519126,Desordenada
2000,0.0022343600052408875,Desordenada
3000,0.003844479998224415,Desordenada
500,0.0004318299994338304,Desordenada
1000,0.0011710199993103742,Desordenada
1500,0.001576580002438277,Desordenada
2000,0.0025426199950743466,Desordenada
3000,0.00363663999887649,Desordenada
500,0.00047067000123206525,Desordenada
1000,0.0012382200016872956,Desordenada
1500,0.0017571299918927251,Desordenada
2000,0.0028554900025483223,Desordenada
