Tamanho da lista,Tempo Médio (s),Lista Ordenada
500,0.0006338599981972947,Desordenada
1000,0.001142620004247874,Desordenada
1500,0.002060199997504242,Desordenada
2000,0.002364179998403415,Desordenada
3000,0.003954339999472723,Desordenada
500,0.0006774299952667206,Desordenada
1000,0.0012093100027414038,Desordenada
1500,0.0020583400008035825,Desordenada
2000,0.0025002699985634536,Desordenada
3000,0.003655980000621639,Desordenada
500,0.0004688899993197992,Desordenada
1000,0.0012264300079550595,Desordenada
1500,0.001749360005487688,Desordenada
2000,0.002700909995473921,Desordenada
3000,0.004005419998429715,Desordenada
500,0.0005814799980726093,Desordenada
1000,0.0012422200030414387,Desordenada
1500,0.001732869999250397,Desordenada
2000,0.0024743400019360704,Desordenada
3000,0.004188710000016726,Desordenada
500,0.0005048200051533059,Desordenada
1000,0.0013179599976865576,Desordenada
1500,0.0019424100028118119,Desordenada
2000,0.0024793599965050816,Desordenada
3000,0.00407073000096716,Desordenada
500,0.0004887100047199055,Desordenada
1000,0.0010691600007703527,Desordenada
1500,0.001715820000390522,Desordenada
2000,0.0024278400000184775,Desordenada
3000,0.004191550001269207,Desordenada
500,0.00047995000204537064,Desordenada
1000,0.0010426799999549985,Desordenada
1500,0.001967290000175126,Desordenada
2000,0.0023518400004832072,Desordenada
3000,0.004323090001707897,Desordenada
500,0.000568639999255538,Desordenada
1000,0.0012552499974844977,Desordenada
1500,0.002167889999691397,Desordenada
2000,0.0025887700001476334,Desordenada
3000,0.004086100001586601,Desordenada
500,0.0004973500006599351,Desordenada
1000,0.0012404199980664999,Desordenada
1500,0.001996459998190403,Desordenada
2000,0.0025030799966771155,Desordenada
3000,0.004019600007450208,Desordenada
500,0.0005171899974811822,Desordenada
1000,0.001123939998797141,Desordenada
1500,0.0017244100046809763,Desordenada
2000,0.002440070000011474,Desordenada
3000,0.004206700003123842,Desordenada
500,0.0004791599902091548,Desordenada
1000,0.001062149996869266,Desordenada
1500,0.001977489999262616,Desordenada
2000,0.0026408900012029335,Desordenada
3000,0.004309819999616593,Desordenada
