Tamanho da lista,Tempo Médio (s),Lista Ordenada
1000,0.02787072998471558,Ordenada ao contrário
1500,0.06171496999450028,Ordenada ao contrário
2000,0.10744151998078451,Ordenada ao contrário
3000,0.25429834000533447,Ordenada ao contrário
500,0.006629309989511967,Ordenada ao contrário
1000,0.030867430020589382,Ordenada ao contrário
1500,0.07069521999219433,Ordenada ao contrário
2000,0.11089910999871791,Ordenada ao contrário
3000,0.25874791003298014,Ordenada ao contrário
500,0.0062189999618567525,Ordenada ao contrário
1000,0.031586660002358255,Ordenada ao contrário
1500,0.06424040998099372,Ordenada ao contrário
2000,0.10688034999184311,Ordenada ao contrário
3000,0.24314684998244046,Ordenada ao contrário
500,0.006463559996336699,Ordenada ao contrário
1000,0.027979340008459985,Ordenada ao contrário
1500,0.06188272001454607,Ordenada ao contrário
2000,0.10482119000516832,Ordenada ao contrário
3000,0.24529431000119076,Ordenada ao contrário
500,0.006464129965752363,Ordenada ao contrário
1000,0.02691813000710681,Ordenada ao contrário
1500,0.06340370001271367,Ordenada ao contrário
2000,0.11516189001267776,Ordenada ao contrário
3000,0.2657577599980868,Ordenada ao contrário
500,0.006691219995263964,Ordenada ao contrário
1000,0.02815202997298911,Ordenada ao contrário
1500,0.06738559998339042,Ordenada ao contrário
2000,0.12197572998702526,Ordenada ao contrário
3000,0.2637163700070232,Ordenada ao contrário
500,0.006782640016172081,Ordenada ao contrário
1000,0.028565140010323377,Ordenada ao contrário
1500,0.06996297000441701,Ordenada ao contrário
2000,0.1193752400111407,Ordenada ao contrário
3000,0.2550966899958439,Ordenada ao contrário
500,0.006740719976369292,Ordenada ao contrário
1000,0.03156030999962241,Ordenada ao contrário
1500,0.06441404998768122,Ordenada ao contrário
2000,0.11140760999405756,Ordenada ao contrário
3000,0.25818501999601723,Ordenada ao contrário
500,0.007918419991619885,Ordenada ao contrário
1000,0.029660409991629423,Ordenada ao contrário
1500,0.0662736299680546,Ordenada ao contrário
2000,0.11387643999187276,Ordenada ao contrário
3000,0.257166680006776,Ordenada ao contrário
500,0.006780790002085269,Ordenada ao contrário
1000,0.028329239995218813,Ordenada ao contrário
1500,0.06190911002922803,Ordenada ao contrário
2000,0.10754390998044983,Ordenada ao contrário
3000,0.24542079000966624,Ordenada ao contrário
500,0.007116490008775145,Ordenada ao contrário
1000,0.028773130010813476,Ordenada ao contrário
1500,0.06729686001781374,Ordenada ao contrário
2000,0.11107843997888267,Ordenada ao contrário
3000,0.2573661599890329,Ordenada ao contrário
500,0.00637808998581022,Ordenada ao contrário
1000,0.02626899000024423,Ordenada ao contrário
1500,0.06488248999230564,Ordenada ao contrário
2000,0.10576619002968073,Ordenada ao contrário
3000,0.2402685000328347,Ordenada ao contrário
500,0.00650702997809276,Ordenada ao contrário
1000,0.028890859975945204,Ordenada ao contrário
1500,0.06537746001267805,Ordenada ao contrário
2000,0.11289536001859232,Ordenada ao contrário
3000,0.2576399299898185,Ordenada ao contrário
500,0.0076354800025001165,Ordenada ao contrário
1000,0.03408317001303658,Ordenada ao contrário
1500,0.06597512998851016,Ordenada ao contrário
2000,0.12142134999157861,Ordenada ao contrário
3000,0.27679968999000265,Ordenada ao contrário
500,0.006508489977568388,Ordenada ao contrário
1000,0.02654450001427904,Ordenada ao contrário
1500,0.06262091002427042,Ordenada ao contrário
2000,0.10709969999734312,Ordenada ao contrário
3000,0.23838917999528347,Ordenada ao contrário
500,0.00636474002385512,Ordenada ao contrário
1000,0.02597905000438914,Ordenada ao contrário
1500,0.05825637999223545,Ordenada ao contrário
2000,0.107519250002224,Ordenada ao contrário
3000,0.24301140999887139,Ordenada ao contrário
500,0.006950339989271015,Ordenada ao contrário
1000,0.028128160035703332,Ordenada ao contrário
1500,0.06066157998284325,Ordenada ao contrário
2000,0.11305460998555646,Ordenada ao contrário
3000,0.24950671999249607,Ordenada ao contrário
500,0.006617340038064867,Ordenada ao contrário
1000,0.026851670013274997,Ordenada ao contrário
1500,0.06817787000909448,Ordenada ao contrário
2000,0.11630372001091019,Ordenada ao contrário
3000,0.2523973200120963,Ordenada ao contrário
500,0.006553170015104115,Ordenada ao contrário
1000,0.028328859980683775,Ordenada ao contrário
1500,0.06450048995902762,Ordenada ao contrário
2000,0.1132763999979943,Ordenada ao contrário
3000,0.25609908000333237,Ordenada ao contrário
500,0.006709289981517941,Ordenada ao contrário
1000,0.029583000019192694,Ordenada ao contrário
1500,0.0627001199987717,Ordenada ao contrário
2000,0.11092123000416905,Ordenada ao contrário
3000,0.2543944599688984,Ordenada ao contrário
500,0.0065902900067158045,Ordenada ao contrário
1000,0.031231960002332925,Ordenada ao contrário
1500,0.06380227997433394,Ordenada ao contrário
2000,0.10970456997165456,Ordenada ao contrário
3000,0.24677030999446287,Ordenada ao contrário
500,0.006963409984018653,Ordenada ao contrário
1000,0.02793125999160111,Ordenada ao contrário
1500,0.06365730999968947,Ordenada ao contrário
2000,0.11359441997483373,Ordenada ao contrário
3000,0.2541352599859238,Ordenada ao contrário
500,0.006786000006832183,Ordenada ao contrário
1000,0.027341130003333092,Ordenada ao contrário
1500,0.06308570000110195,Ordenada ao contrário
2000,0.11233012995216995,Ordenada ao contrário
3000,0.25324444997822865,Ordenada ao contrário
500,0.006479989993385971,Ordenada ao contrário
1000,0.02925976999104023,Ordenada ao contrário
1500,0.062153779983054845,Ordenada ao contrário
2000,0.10859791999682784,Ordenada ao contrário
3000,0.250383179995697,Ordenada ao contrário
500,0.006513410015031695,Ordenada ao contrário
1000,0.027109120006207375,Ordenada ao contrário
1500,0.061729970015585424,Ordenada ao contrário
2000,0.10977240999927744,Ordenada ao contrário
3000,0.24579583999002352,Ordenada ao contrário
500,0.0064530399977229536,Ordenada ao contrário
1000,0.027979920036159456,Ordenada ao contrário
1500,0.06086517998483032,Ordenada ao contrário
2000,0.10545138999586925,Ordenada ao contrário
3000,0.23489771998720244,Ordenada ao contrário
500,0.00656723000574857,Ordenada ao contrário
1000,0.027921629999764264,Ordenada ao contrário
1500,0.062056730000767855,Ordenada ao contrário
2000,0.11248715998372064,Ordenada ao contrário
3000,0.24743016998982056,Ordenada ao contrário
500,0.006873810011893511,Ordenada ao contrário
1000,0.02783750999951735,Ordenada ao contrário
1500,0.06271793997148052,Ordenada ao contrário
2000,0.1099188199848868,Ordenada ao contrário
3000,0.2631148100015707,Ordenada ao contrário
500,0.00672657999675721,Ordenada ao contrário
1000,0.028182140027638525,Ordenada ao contrário
1500,0.06536519997753203,Ordenada ao contrário
2000,0.11306017000460997,Ordenada ao contrário
3000,0.26419280000263823,Ordenada ao contrário
500,0.00659481001785025,Ordenada ao contrário
1000,0.028549839975312352,Ordenada ao contrário
1500,0.06297957999631762,Ordenada ao contrário
2000,0.10855359996203333,Ordenada ao contrário
3000,0.2551548999850638,Ordenada ao contrário
500,0.006408710009418428,Ordenada ao contrário
1000,0.027376149978954344,Ordenada ao contrário
1500,0.06185200999025255,Ordenada ao contrário
2000,0.11009723001625389,Ordenada ao contrário
3000,0.2542416200041771,Ordenada ao contrário
500,0.006672220001928508,Ordenada ao contrário
1000,0.027563190017826856,Ordenada ao contrário
1500,0.06266124001704157,Ordenada ao contrário
2000,0.1119431600207463,Ordenada ao contrário
3000,0.2515969299827702,Ordenada ao contrário
500,0.006575709988828749,Ordenada ao contrário
1000,0.026902859995607285,Ordenada ao contrário
1500,0.060894470021594316,Ordenada ao contrário
2000,0.10899280001176521,Ordenada ao contrário
3000,0.24489581999368965,Ordenada ao contrário
500,0.006376239995006472,Ordenada ao contrário
1000,0.025406100042164325,Ordenada ao contrário
1500,0.058708300022408365,Ordenada ao contrário
2000,0.10297576000448316,Ordenada ao contrário
3000,0.2364699300029315,Ordenada ao contrário
500,0.006446559983305633,Ordenada ao contrário
1000,0.027195820002816617,Ordenada ao contrário
1500,0.06122285998426378,Ordenada ao contrário
2000,0.10868875000160187,Ordenada ao contrário
3000,0.2494961600052193,Ordenada ao contrário
500,0.007292990002315492,Ordenada ao contrário
1000,0.02922817999497056,Ordenada ao contrário
1500,0.061108260008040816,Ordenada ao contrário
2000,0.11502760997973382,Ordenada ao contrário
3000,0.24579166999319568,Ordenada ao contrário
500,0.0067862599971704185,Ordenada ao contrário
1000,0.02826042000669986,Ordenada ao contrário
1500,0.06428586000110954,Ordenada ao contrário
2000,0.11472204996971413,Ordenada ao contrário
3000,0.2590479800011963,Ordenada ao contrário
500,0.006448910001199693,Ordenada ao contrário
1000,0.02584625001763925,Ordenada ao contrário
1500,0.05781315000494942,Ordenada ao contrário
2000,0.10492242998443543,Ordenada ao contrário
3000,0.23133934000506998,Ordenada ao contrário
500,0.006379760010167957,Ordenada ao contrário
1000,0.025875819975044578,Ordenada ao contrário
1500,0.05847272998653352,Ordenada ao contrário
2000,0.1042056699981913,Ordenada ao contrário
3000,0.2312785099959001,Ordenada ao contrário
500,0.006348799995612353,Ordenada ao contrário
1000,0.026833410002291204,Ordenada ao contrário
1500,0.05934876999817788,Ordenada ao contrário
2000,0.10394041998079047,Ordenada ao contrário
3000,0.23216160000301897,Ordenada ao contrário
500,0.006398039974737912,Ordenada ao contrário
1000,0.026838140003383158,Ordenada ao contrário
1500,0.059933710005134345,Ordenada ao contrário
2000,0.10594682000810281,Ordenada ao contrário
3000,0.23934740996919573,Ordenada ao contrário
500,0.006816549994982779,Ordenada ao contrário
1000,0.02801539999200031,Ordenada ao contrário
1500,0.06281423999462277,Ordenada ao contrário
2000,0.11115057002753019,Ordenada ao contrário
3000,0.25143548004562033,Ordenada ao contrário
500,0.006608980009332299,Ordenada ao contrário
1000,0.027473169995937498,Ordenada ao contrário
1500,0.06215354999294505,Ordenada ao contrário
2000,0.10961384997935966,Ordenada ao contrário
3000,0.24786328999325632,Ordenada ao contrário
500,0.006508309976197779,Ordenada ao contrário
1000,0.026027570012956858,Ordenada ao contrário
1500,0.0591952099930495,Ordenada ao contrário
2000,0.10418782997876405,Ordenada ao contrário
3000,0.24195132000604644,Ordenada ao contrário
500,0.006594850006513298,Ordenada ao contrário
1000,0.026865659980103374,Ordenada ao contrário
1500,0.06226517002796754,Ordenada ao contrário
2000,0.10894412001362071,Ordenada ao contrário
3000,0.24401338000316172,Ordenada ao contrário
500,0.006343400001060218,Ordenada ao contrário
1000,0.02556803999468684,Ordenada ao contrário
1500,0.05804222001461312,Ordenada ao contrário
2000,0.10204878997756169,Ordenada ao contrário
3000,0.2320380800170824,Ordenada ao contrário
500,0.00639948999742046,Ordenada ao contrário
1000,0.025904060003813355,Ordenada ao contrário
1500,0.05799565998604521,Ordenada ao contrário
2000,0.10744442000286654,Ordenada ao contrário
