Tamanho da lista,Tempo Médio (s),
2000,0.0689578399877064,Desordenada
3000,0.15375699999858625,Desordenada
500,0.003990280005382374,Desordenada
1000,0.017042729997774585,Desordenada
1500,0.03871763999923132,Desordenada
2000,0.06981041998951695,Desordenada
3000,0.15561453998670913,Desordenada
500,0.004011789994547143,Desordenada
1000,0.017181099992012606,Desordenada
1500,0.03879750000196509,Desordenada
2000,0.07012811000458896,Desordenada
3000,0.15668096999870612,Desordenada
500,0.004026880010496825,Desordenada
1000,0.01697530000237748,Desordenada
1500,0.038746049994369966,Desordenada
2000,0.06809177998802625,Desordenada
3000,0.15654652999946847,Desordenada
500,0.004023809998761863,Desordenada
1000,0.016523669997695833,Desordenada
1500,0.0384379499941133,Desordenada
2000,0.07408119000028819,Desordenada
3000,0.15547290001413785,Desordenada
500,0.004037900007097051,Desordenada
1000,0.017515179992187768,Desordenada
1500,0.03852239000261761,Desordenada
2000,0.06877015998470597,Desordenada
3000,0.15634927000501192,Desordenada
500,0.00400985999731347,Desordenada
1000,0.01669482998549938,Desordenada
1500,0.03814799000392668,Desordenada
2000,0.06822387001593597,Desordenada
3000,0.15483527001924813,Desordenada
500,0.0039712400001008065,Desordenada
1000,0.016782190004596485,Desordenada
1500,0.038532340002711864,Desordenada
2000,0.07201754000852816,Desordenada
3000,0.16040079000522384,Desordenada
500,0.004050490004010499,Desordenada
1000,0.017216399998869748,Desordenada
1500,0.03930713000590913,Desordenada
2000,0.0694212400005199,Desordenada
3000,0.15494169999146834,Desordenada
500,0.003957649989752099,Desordenada
1000,0.01661618000944145,Desordenada
1500,0.037589470006059854,Desordenada
2000,0.0681830299901776,Desordenada
3000,0.15662358001573012,Desordenada
500,0.003986800002167001,Desordenada
1000,0.01671279001166113,Desordenada
1500,0.03848236000048928,Desordenada
2000,0.06930573998834007,Desordenada
3000,0.15756017999374308,Desordenada
500,0.0040029500087257475,Desordenada
1000,0.01707223998964764,Desordenada
1500,0.039971209998475386,Desordenada
2000,0.07007448999211192,Desordenada
3000,0.1569562000106089,Desordenada
500,0.004007149999961257,Desordenada
1000,0.017559880000771955,Desordenada
1500,0.039679680002154785,Desordenada
2000,0.07112849000259303,Desordenada
3000,0.15411563998786731,Desordenada
500,0.004062889999477193,Desordenada
1000,0.01690566000761464,Desordenada
1500,0.03881948997732252,Desordenada
2000,0.06836033999570645,Desordenada
3000,0.1555809299927205,Desordenada
500,0.003914990002522245,Desordenada
1000,0.01651851999340579,Desordenada
1500,0.039030999987153335,Desordenada
2000,0.06736281999037601,Desordenada
3000,0.15234521999373102,Desordenada
500,0.003919160010991618,Desordenada
1000,0.016983400005847214,Desordenada
1500,0.039109030016697945,Desordenada
2000,0.06822475999360904,Desordenada
3000,0.15378436000319198,Desordenada
500,0.004020900005707517,Desordenada
1000,0.017226320004556327,Desordenada
1500,0.03949215999455191,Desordenada
2000,0.06883444999111817,Desordenada
3000,0.15767303999746218,Desordenada
500,0.004136179992929101,Desordenada
1000,0.01648587000090629,Desordenada
1500,0.03890356000629254,Desordenada
2000,0.06902003998984582,Desordenada
3000,0.15581305000232532,Desordenada
500,0.004144399997312575,Desordenada
1000,0.017027220013551413,Desordenada
1500,0.039181200007442386,Desordenada
2000,0.06932498999522067,Desordenada
3000,0.15588620000053197,Desordenada
500,0.003861200006213039,Desordenada
1000,0.01751784001244232,Desordenada
1500,0.0390800500055775,Desordenada
2000,0.06811349999625235,Desordenada
3000,0.15623059999779798,Desordenada
500,0.0040179199946578596,Desordenada
1000,0.01700546998763457,Desordenada
1500,0.038620540010742846,Desordenada
2000,0.0695572900120169,Desordenada
3000,0.15707281001959927,Desordenada
500,0.003948719991603867,Desordenada
1000,0.016844500007573517,Desordenada
1500,0.03887066999450326,Desordenada
2000,0.06873379000462591,Desordenada
3000,0.15586825000937096,Desordenada
500,0.003966359997866676,Desordenada
1000,0.016950079990783705,Desordenada
1500,0.03966292000259273,Desordenada
2000,0.06880558999837376,Desordenada
3000,0.15622697999933735,Desordenada
500,0.004025600012391805,Desordenada
1000,0.017735800001537426,Desordenada
1500,0.039525129995308814,Desordenada
2000,0.06856870999909007,Desordenada
3000,0.1564437199907843,Desordenada
500,0.0038923200103454293,Desordenada
1000,0.016760089999297633,Desordenada
1500,0.039081050007371235,Desordenada
2000,0.06970109998947009,Desordenada
3000,0.1551936800009571,Desordenada
500,0.004129819991067052,Desordenada
1000,0.017141969996737318,Desordenada
1500,0.039259110012790185,Desordenada
2000,0.06871850999305025,Desordenada
3000,0.1563539899827447,Desordenada
500,0.003867420007009059,Desordenada
1000,0.016903130011633037,Desordenada
1500,0.03839396000257693,Desordenada
2000,0.06888249000185169,Desordenada
3000,0.15285382000147366,Desordenada
500,0.003971000004094094,Desordenada
1000,0.017160660005174577,Desordenada
1500,0.03835734000313096,Desordenada
2000,0.06783956999424845,Desordenada
3000,0.15376500000129453,Desordenada
500,0.004136669996660203,Desordenada
1000,0.01892393999733031,Desordenada
1500,0.038570010004332286,Desordenada
2000,0.0722453200025484,Desordenada
3000,0.15707843999261967,Desordenada
500,0.003935089992592111,Desordenada
1000,0.017070229985984044,Desordenada
1500,0.0397403400100302,Desordenada
2000,0.06972477998933754,Desordenada
3000,0.15608304999186656,Desordenada
500,0.003951300005428493,Desordenada
1000,0.01720713000977412,Desordenada
1500,0.03863300999510102,Desordenada
2000,0.06998085999512113,Desordenada
3000,0.1560519399936311,Desordenada
500,0.003987820009933784,Desordenada
1000,0.01715766999986954,Desordenada
1500,0.03901994000189006,Desordenada
2000,0.06918937999871559,Desordenada
3000,0.15573841999284924,Desordenada
500,0.004132110008504242,Desordenada
1000,0.017708149994723497,Desordenada
1500,0.04012920000823215,Desordenada
2000,0.06839911001734436,Desordenada
3000,0.157470419985475,Desordenada
500,0.004017889994429424,Desordenada
1000,0.01706469000200741,Desordenada
1500,0.03998330999165774,Desordenada
2000,0.06970331999473274,Desordenada
3000,0.15597157999291084,Desordenada
500,0.003910729987546801,Desordenada
1000,0.016764060006244107,Desordenada
1500,0.03847552998922765,Desordenada
2000,0.06879438000614754,Desordenada
3000,0.15639568000333384,Desordenada
500,0.0038156300026457755,Desordenada
1000,0.016974270006176084,Desordenada
1500,0.038219010009197515,Desordenada
2000,0.0667544599971734,Desordenada
3000,0.15514596000430175,Desordenada
500,0.004080799990333617,Desordenada
1000,0.017083770013414323,Desordenada
1500,0.03896778000053018,Desordenada
2000,0.06852093000197783,Desordenada
3000,0.15292549000005237,Desordenada
500,0.003917110007023439,Desordenada
1000,0.016719590005232023,Desordenada
1500,0.038752800016663966,Desordenada
2000,0.06817840000148863,Desordenada
3000,0.15413233000435866,Desordenada
500,0.0039348500082269314,Desordenada
1000,0.016944720008177684,Desordenada
1500,0.03914766000234522,Desordenada
2000,0.06737239999929442,Desordenada
3000,0.1544120700098574,Desordenada
500,0.0039724200032651424,Desordenada
1000,0.017355800000950695,Desordenada
1500,0.039264420000836256,Desordenada
2000,0.06915888999938033,Desordenada
3000,0.1560700599977281,Desordenada
500,0.004200739989755675,Desordenada
1000,0.017247319989837705,Desordenada
1500,0.03892364000203088,Desordenada
2000,0.07028983001364394,Desordenada
3000,0.1604726999939885,Desordenada
500,0.0039061499992385507,Desordenada
1000,0.016824530006852002,Desordenada
1500,0.038450570002896714,Desordenada
2000,0.06860606999834999,Desordenada
3000,0.15738375000073573,Desordenada
500,0.0042090200004167855,Desordenada
1000,0.017649640003219245,Desordenada
1500,0.03879519000183791,Desordenada
2000,0.06851545000099576,Desordenada
3000,0.1561395999917295,Desordenada
500,0.003998799994587898,Desordenada
1000,0.016927990003023297,Desordenada
1500,0.03920865000109188,Desordenada
2000,0.0679778000107035,Desordenada
3000,0.15661039999686183,Desordenada
500,0.00395323999109678,Desordenada
1000,0.016686589998425917,Desordenada
1500,0.03909104000777006,Desordenada
2000,0.06857112999423406,Desordenada
3000,0.156232930009719,Desordenada
500,0.0043544800078962,Desordenada
1000,0.01775215000961907,Desordenada
1500,0.03988286998937838,Desordenada
2000,0.07007091998821124,Desordenada
3000,0.1545389199978672,Desordenada
500,0.004006040003150702,Desordenada
1000,0.016806140000699087,Desordenada
1500,0.03882287999731489,Desordenada
2000,0.06918874001130462,Desordenada
3000,0.15796005001175217,Desordenada
500,0.0038673100003506987,Desordenada
1000,0.017104519996792078,Desordenada
1500,0.03868697000434622,Desordenada
2000,0.07048004000680522,Desordenada
3000,0.155747780011734,Desordenada
500,0.004073419992346316,Desordenada
1000,0.01747363999602385,Desordenada
1500,0.038618510006926954,Desordenada
2000,0.06806595001835376,Desordenada
3000,0.15731996000395157,Desordenada
500,0.0040024199988693,Desordenada
1000,0.017231970006832853,Desordenada
1500,0.03849219999392517,Desordenada
2000,0.06851084999507293,Desordenada
3000,0.1554560299962759,Desordenada
500,0.003976870013866573,Desordenada
1000,0.018231550010386854,Desordenada
1500,0.038076510006794705,Desordenada
2000,0.0685949700011406,Desordenada
3000,0.1566023100167513,Desordenada
500,0.004046400013612584,Desordenada
1000,0.016789950005477294,Desordenada
1500,0.038750800007255747,Desordenada
2000,0.06883458999800496,Desordenada
3000,0.15601152999443002,Desordenada
500,0.004175179987214506,Desordenada
1000,0.01687562000588514,Desordenada
1500,0.038194070005556566,Desordenada
2000,0.06884597000316717,Desordenada
3000,0.15680154000292532,Desordenada
500,0.0039178799896035345,Desordenada
1000,0.01687849000445567,Desordenada
1500,0.038278219994390385,Desordenada
2000,0.06937813999829814,Desordenada
3000,0.15610319999977945,Desordenada
500,0.00401074000983499,Desordenada
1000,0.01697711000451818,Desordenada
1500,0.03831289999652654,Desordenada
